Area Of Study,Males,Females
Natural and Physical Sciences,49.70223633,50.29776367
Information Technology,74.29590791,25.70409209
Engineering and Related Technologies,91.56018678,8.439813221
Architecture and Building,89.48311794,10.51688206
Agriculture and Environmental,68.11196707,31.88803293
Health,23.12317008,76.87682992
Education,22.71132489,77.28867511
Management and Commerce,41.45269931,58.54730069
Society and Culture,31.80683454,68.19316546
Creative Arts,40.12449433,59.87550567
Hospitality,36.32081904,63.67918096
