Area Of Study,New South Wales,Victoria,Queensland,South Australia, Western Australia,Tasmania,Northern Territory, Australian Capitol Territory,
Natural and Physical Sciences,2.95,3.40,2.44,3.03,3.44,3.04,2.07,5.63,
Information Technology,4.00,4.37,2.47,2.75,2.47,2.71,2.34,7.54,
Engineering and Related Technologies,12.93,12.69,14.52,14.60,17.06,13.04,13.37,8.41,
Architecture and Building,5.29,5.50,5.77,4.78,4.98,5.82,4.16,3.91,
Agriculture and Environmental,1.76,1.84,1.89,2.37,1.98,2.99,2.60,1.63,
Health,9.52,10.33,10.91,12.19,10.63,10.86,10.62,8.68,
Education,7.41,7.96,7.84,8.15,8.03,8.44,7.57,6.93,
Management and Commerce,21.77,19.16,18.35,17.94,17.61,17.28,16.36,20.04,
Society and Culture,11.85,12.32,11.83,13.19,10.80,12.68,11.71,20.06,
Creative Arts,4.16,4.42,3.30,3.24,3.22,3.23,2.15,4.24,
Hospitality,4.40,4.74,5.58,5.16,5.13,5.55,4.53,3.34,
